 'Eduardo Struvay'  'si36'  'eduardo-struvay'
 'Caio Zampieri'  'z198'  'caio-zampieri'
 'Martin Klizan'  'k966'  'martin-klizan'
 'Radu Albot'  'a829'  'radu-albot'
 'Daniel Brands'  'bc72'  'daniel-brands'
 'Cedrik-Marcel Stebe'  'sk94'  'cedrik-marcel-stebe'
 'Maximilian Marterer'  'mn13'  'maximilian-marterer'
 'Teymuraz Gabashvili'  'g681'  'teymuraz-gabashvili'
 'Filip Krajinovic'  'kb05'  'filip-krajinovic'
 'Marko Tepavac'  'tc11'  'marko-tepavac'
 'Borna Coric'  'cg80'  'borna-coric'
 'Marius Copil'  'ca99'  'marius-copil'
 'Jan-Lennard Struff'  'sl28'  'jan-lennard-struff'
 'Ernests Gulbis'  'g858'  'ernests-gulbis'
 'Botic Van de Zandschulp'  'v812'  'botic-van-de-zandschulp'
 'Mikhail Kukushkin'  'k926'  'mikhail-kukushkin'
 'Damir Dzumhur'  'd923'  'damir-dzumhur'
 'Taylor Fritz'  'fb98'  'taylor-fritz'
 'Benjamin Becker'  'b896'  'benjamin-becker'
 'Brian Baker'  'ba23'  'brian-baker'
 'Tommy Robredo'  'r419'  'tommy-robredo'
 'Guido Andreozzi'  'a887'  'guido-andreozzi'
 'Federico Delbonis'  'd874'  'federico-delbonis'
 'Leonardo Mayer'  'md56'  'leonardo-mayer'
 'Joao Souza'  'sg64'  'joao-souza'
 'Ruben Ramirez Hidalgo'  'r383'  'ruben-ramirez-hidalgo'
 'Norbert Gombos'  'gb93'  'norbert-gombos'
 'Sergiy Stakhovsky'  'sc77'  'sergiy-stakhovsky'
 'Lukas Rosol'  'r685'  'lukas-rosol'
 'Albert Montanes'  'm824'  'albert-montanes'
 'Juan Martin del Potro'  'd683'  'juan-martin-del-potro'
 'Guillermo Garcia-Lopez'  'g476'  'guillermo-garcia-lopez'
 'Marton Fucsovics'  'f724'  'marton-fucsovics'
 'Adrian Mannarino'  'me82'  'adrian-mannarino'
 'Stefan Kozlov'  'ke64'  'stefan-kozlov'
 'Guido Pella'  'pc11'  'guido-pella'
 'Facundo Bagnis'  'bf23'  'facundo-bagnis'
 'Kevin Anderson'  'a678'  'kevin-anderson'
 'Henri Laaksonen'  'l949'  'henri-laaksonen'
 'Stephane Robert'  'r612'  'stephane-robert'
 'Elias Ymer'  'y218'  'elias-ymer'
 'Dennis Novikov'  'n674'  'dennis-novikov'
 'Christian Harrison'  'hb05'  'christian-harrison'
 'Ruben Bemelmans'  'be54'  'ruben-bemelmans'
 'Miomir Kecmanovic'  'ki95'  'miomir-kecmanovic'
 'Tommy Haas'  'h355'  'tommy-haas'
 'Tennys Sandgren'  'sl08'  'tennys-sandgren'
 'Bradley Klahn'  'ka98'  'bradley-klahn'
 'Amine Ahouda'  'af32'  'amine-ahouda'
 'Reda El Amrani'  'e655'  'reda-el-amrani'
 'Gianluigi Quinzi'  'q948'  'gianluigi-quinzi'
 'Alexander Ward'  'w579'  'alexander-ward'
 'Simone Bolelli'  'ba98'  'simone-bolelli'
 'Daniel Masur'  'mn20'  'daniel-masur'
 'Alejandro Davidovich Fokina'  'dh50'  'alejandro-davidovich-fokina'
 'Jordi Samper-Montana'  'sh91'  'jordi-samper-montana'
 'Attila Balazs'  'bd80'  'attila-balazs'
 'Joao Domingues'  'd985'  'joao-domingues'
 'Frederico Ferreira Silva'  'sn54'  'frederico-ferreira-silva'
 'Pedro Sousa'  's483'  'pedro-sousa'
 'Salvatore Caruso'  'ce25'  'salvatore-caruso'
 'Goncalo Oliveira'  'o482'  'goncalo-oliveira'
 'Yannick Hanfmann'  'h997'  'yannick-hanfmann'
 'Yannick Mertens'  'mg08'  'yannick-mertens'
 'Jeremy Jahn'  'j400'  'jeremy-jahn'
 'Riccardo Bellotti'  'bh76'  'riccardo-bellotti'
 'Laurynas Grigelis'  'ga71'  'laurynas-grigelis'
 'Alexey Vatutin'  'v717'  'alexey-vatutin'
 'Florian Mayer'  'mb02'  'florian-mayer'
 'Nicola Kuhn'  'ki74'  'nicola-kuhn'
 'Andrea Arnaboldi'  'a622'  'andrea-arnaboldi'
 'Franko Skugor'  'sf76'  'franko-skugor'
 'Roberto Marcora'  'mj01'  'roberto-marcora'
 'Daniel Altmaier'  'ae14'  'daniel-altmaier'
 'Marco Chiudinelli'  'c582'  'marco-chiudinelli'
